       1        2
       2        3
       3        4
       4        5
       5        6
       6        7
       7        8
       8        9
       9       10
      10       11
      11       12
      12       13
      13       14
      14       15
      15       16
      16       17
      17       18
      18       19
      19       38
      38       57
      57       76
      76       95
      95      114
     114      133
     133      152
     152      171
     171      190
     172      153
     153      134
     134      115
     115       96
      96       77
      77       58
      58       39
      39       20
      20        1
